source_db,source_id,source_name,omen_key,omen_c,omen_x,posture,implement,pattern,laterality,angle,mechanic,primary_muscles
free-exercise-db,Alternating_Floor_Press,Alternating Floor Press,OMEN-0.2-WWYG3PAL2J6OY,kettlebell alternating horizontal-push,posture=supine|implement=kettlebell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=alternating|pattern=horizontal-push|angle=flat|contraction=dynamic|range=full,supine,kettlebell,horizontal-push,alternating,flat,compound,pectoralis-major;anterior-deltoid;triceps
free-exercise-db,Alternating_Kettlebell_Press,Alternating Kettlebell Press,OMEN-0.2-5WHG4UIUU5HN4,kettlebell alternating vertical-push,posture=standing|implement=kettlebell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=alternating|pattern=vertical-push|angle=flat|contraction=dynamic|range=full,standing,kettlebell,vertical-push,alternating,flat,compound,anterior-deltoid;triceps;upper-pectoralis
free-exercise-db,Alternating_Kettlebell_Row,Alternating Kettlebell Row,OMEN-0.2-C3ULEZ75QZW4S,kettlebell alternating horizontal-pull,posture=bent-over|implement=kettlebell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=alternating|pattern=horizontal-pull|angle=flat|contraction=dynamic|range=full,bent-over,kettlebell,horizontal-pull,alternating,flat,compound,latissimus-dorsi;rhomboids;mid-trapezius;posterior-deltoid
free-exercise-db,Alternating_Renegade_Row,Alternating Renegade Row,OMEN-0.2-C3ULEZ75QZW4S,kettlebell alternating horizontal-pull,posture=bent-over|implement=kettlebell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=alternating|pattern=horizontal-pull|angle=flat|contraction=dynamic|range=full,bent-over,kettlebell,horizontal-pull,alternating,flat,compound,latissimus-dorsi;rhomboids;mid-trapezius;posterior-deltoid
free-exercise-db,Anti-Gravity_Press,Anti-Gravity Press,OMEN-0.2-QGKZEQ6ZHHXGQ,barbell vertical-push,posture=standing|implement=barbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=vertical-push|angle=flat|contraction=dynamic|range=full,standing,barbell,vertical-push,bilateral,flat,compound,anterior-deltoid;triceps;upper-pectoralis
free-exercise-db,Arnold_Dumbbell_Press,Arnold Dumbbell Press,OMEN-0.2-QPXDT4WQ2KFYE,dumbbell vertical-push,posture=standing|implement=dumbbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=vertical-push|angle=flat|contraction=dynamic|range=full,standing,dumbbell,vertical-push,bilateral,flat,compound,anterior-deltoid;triceps;upper-pectoralis
free-exercise-db,Around_The_Worlds,Around The Worlds,OMEN-0.2-KYBGMXCO33UC2,dumbbell horizontal-push,posture=supine|implement=dumbbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=horizontal-push|angle=flat|contraction=dynamic|range=full,supine,dumbbell,horizontal-push,bilateral,flat,compound,pectoralis-major;anterior-deltoid;triceps
free-exercise-db,Atlas_Stone_Trainer,Atlas Stone Trainer,OMEN-0.2-XPFTQQMVR4656,atlas-stone hip-hinge,posture=standing|implement=atlas-stone|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=hip-hinge|angle=flat|contraction=dynamic|range=full,standing,atlas-stone,hip-hinge,bilateral,flat,compound,gluteus-maximus;hamstrings;erector-spinae
free-exercise-db,Atlas_Stones,Atlas Stones,OMEN-0.2-XPFTQQMVR4656,atlas-stone hip-hinge,posture=standing|implement=atlas-stone|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=hip-hinge|angle=flat|contraction=dynamic|range=full,standing,atlas-stone,hip-hinge,bilateral,flat,compound,gluteus-maximus;hamstrings;erector-spinae
free-exercise-db,Back_Flyes_-_With_Bands,Back Flyes - With Bands,OMEN-0.2-FAXMK67VQDC4M,band shoulder-horizontal-adduction,posture=standing|implement=band|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=shoulder-horizontal-adduction|angle=flat|contraction=dynamic|range=full,standing,band,shoulder-horizontal-adduction,bilateral,flat,isolation,pectoralis-major
free-exercise-db,Ball_Leg_Curl,Ball Leg Curl,OMEN-0.2-FQ5VJF7SWWXBI,stability-ball knee-flexion,posture=prone|implement=stability-ball|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=knee-flexion|angle=flat|contraction=dynamic|range=full,prone,stability-ball,knee-flexion,bilateral,flat,isolation,hamstrings
free-exercise-db,Band_Assisted_Pull-Up,Band Assisted Pull-Up,OMEN-0.2-5JMEVRJFDFTGO,band vertical-pull,posture=hanging|implement=band|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=vertical-pull|angle=flat|contraction=dynamic|range=full,hanging,band,vertical-pull,bilateral,flat,compound,latissimus-dorsi;teres-major
free-exercise-db,Band_Good_Morning,Band Good Morning,OMEN-0.2-JDNZUY7P2OSI4,band hip-hinge,posture=standing|implement=band|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=hip-hinge|angle=flat|contraction=dynamic|range=full,standing,band,hip-hinge,bilateral,flat,compound,gluteus-maximus;hamstrings;erector-spinae
free-exercise-db,Band_Good_Morning_Pull_Through,Band Good Morning (Pull Through),OMEN-0.2-JDNZUY7P2OSI4,band hip-hinge,posture=standing|implement=band|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=hip-hinge|angle=flat|contraction=dynamic|range=full,standing,band,hip-hinge,bilateral,flat,compound,gluteus-maximus;hamstrings;erector-spinae
free-exercise-db,Band_Hip_Adductions,Band Hip Adductions,OMEN-0.2-FRS6VRHCTA3VQ,band hip-adduction,posture=seated|implement=band|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=hip-adduction|angle=flat|contraction=dynamic|range=full,seated,band,hip-adduction,bilateral,flat,isolation,adductors
free-exercise-db,Band_Pull_Apart,Band Pull Apart,OMEN-0.2-RXMJBUACCNGTU,band shoulder-abduction,posture=standing|implement=band|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=shoulder-abduction|angle=flat|contraction=dynamic|range=full,standing,band,shoulder-abduction,bilateral,flat,isolation,lateral-deltoid
free-exercise-db,Band_Skull_Crusher,Band Skull Crusher,OMEN-0.2-ECOKSVS3E6OQW,band elbow-extension,posture=standing|implement=band|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=elbow-extension|angle=flat|contraction=dynamic|range=full,standing,band,elbow-extension,bilateral,flat,isolation,triceps
free-exercise-db,Barbell_Ab_Rollout,Barbell Ab Rollout,OMEN-0.2-GPSQVHE2ANZFM,barbell anti-extension,posture=prone|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=anti-extension|angle=flat|contraction=dynamic|range=full,prone,barbell,anti-extension,bilateral,flat,isolation,rectus-abdominis
free-exercise-db,Barbell_Ab_Rollout_-_On_Knees,Barbell Ab Rollout - On Knees,OMEN-0.2-GPSQVHE2ANZFM,barbell anti-extension,posture=prone|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=anti-extension|angle=flat|contraction=dynamic|range=full,prone,barbell,anti-extension,bilateral,flat,isolation,rectus-abdominis
free-exercise-db,Barbell_Bench_Press_-_Medium_Grip,Barbell Bench Press - Medium Grip,OMEN-0.2-VRQRJHQSX5NX6,barbell horizontal-push,posture=supine|implement=barbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=horizontal-push|angle=flat|contraction=dynamic|range=full,supine,barbell,horizontal-push,bilateral,flat,compound,pectoralis-major;anterior-deltoid;triceps
free-exercise-db,Barbell_Curl,Barbell Curl,OMEN-0.2-VS436TATXEDMG,barbell elbow-flexion,posture=standing|implement=barbell|attachment=none|grip_orientation=supinated|grip_width=standard|laterality=bilateral|pattern=elbow-flexion|angle=flat|contraction=dynamic|range=full,standing,barbell,elbow-flexion,bilateral,flat,isolation,biceps;brachialis
free-exercise-db,Barbell_Curls_Lying_Against_An_Incline,Barbell Curls Lying Against An Incline,OMEN-0.2-ZV7TYD6G4A23W,incline barbell elbow-flexion,posture=supine|implement=barbell|attachment=none|grip_orientation=supinated|grip_width=standard|laterality=bilateral|pattern=elbow-flexion|angle=incline|contraction=dynamic|range=full,supine,barbell,elbow-flexion,bilateral,incline,isolation,biceps;brachialis
free-exercise-db,Barbell_Deadlift,Barbell Deadlift,OMEN-0.2-K5R5GCRCMTPDE,barbell hip-hinge,posture=standing|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=hip-hinge|angle=flat|contraction=dynamic|range=full,standing,barbell,hip-hinge,bilateral,flat,compound,gluteus-maximus;hamstrings;erector-spinae
free-exercise-db,Barbell_Full_Squat,Barbell Full Squat,OMEN-0.2-HWYDOFIMW3MXQ,barbell squat,posture=standing|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=squat|angle=flat|contraction=dynamic|range=full,standing,barbell,squat,bilateral,flat,compound,quadriceps;gluteus-maximus
free-exercise-db,Barbell_Glute_Bridge,Barbell Glute Bridge,OMEN-0.2-IPJFCCPPBVL2E,barbell hip-extension,posture=supine|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=hip-extension|angle=flat|contraction=dynamic|range=full,supine,barbell,hip-extension,bilateral,flat,isolation,gluteus-maximus
free-exercise-db,Barbell_Guillotine_Bench_Press,Barbell Guillotine Bench Press,OMEN-0.2-VRQRJHQSX5NX6,barbell horizontal-push,posture=supine|implement=barbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=horizontal-push|angle=flat|contraction=dynamic|range=full,supine,barbell,horizontal-push,bilateral,flat,compound,pectoralis-major;anterior-deltoid;triceps
free-exercise-db,Barbell_Hack_Squat,Barbell Hack Squat,OMEN-0.2-HWYDOFIMW3MXQ,barbell squat,posture=standing|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=squat|angle=flat|contraction=dynamic|range=full,standing,barbell,squat,bilateral,flat,compound,quadriceps;gluteus-maximus
free-exercise-db,Barbell_Hip_Thrust,Barbell Hip Thrust,OMEN-0.2-IPJFCCPPBVL2E,barbell hip-extension,posture=supine|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=hip-extension|angle=flat|contraction=dynamic|range=full,supine,barbell,hip-extension,bilateral,flat,isolation,gluteus-maximus
free-exercise-db,Barbell_Incline_Bench_Press_-_Medium_Grip,Barbell Incline Bench Press - Medium Grip,OMEN-0.2-A4VXXXXCO72LK,incline barbell horizontal-push,posture=supine|implement=barbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=horizontal-push|angle=incline|contraction=dynamic|range=full,supine,barbell,horizontal-push,bilateral,incline,compound,pectoralis-major;anterior-deltoid;triceps
free-exercise-db,Barbell_Incline_Shoulder_Raise,Barbell Incline Shoulder Raise,OMEN-0.2-XUZLNQZ2VSZV6,incline barbell vertical-push,posture=standing|implement=barbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=vertical-push|angle=incline|contraction=dynamic|range=full,standing,barbell,vertical-push,bilateral,incline,compound,anterior-deltoid;triceps;upper-pectoralis
free-exercise-db,Barbell_Lunge,Barbell Lunge,OMEN-0.2-JDNTB5KOOSCU4,barbell lunge,posture=standing|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=lunge|angle=flat|contraction=dynamic|range=full,standing,barbell,lunge,bilateral,flat,compound,quadriceps;gluteus-maximus
free-exercise-db,Barbell_Rear_Delt_Row,Barbell Rear Delt Row,OMEN-0.2-EK5SEJOS7ZSDO,barbell shoulder-horizontal-abduction,posture=bent-over|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=shoulder-horizontal-abduction|angle=flat|contraction=dynamic|range=full,bent-over,barbell,shoulder-horizontal-abduction,bilateral,flat,isolation,posterior-deltoid
free-exercise-db,Barbell_Rollout_from_Bench,Barbell Rollout from Bench,OMEN-0.2-GPSQVHE2ANZFM,barbell anti-extension,posture=prone|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=anti-extension|angle=flat|contraction=dynamic|range=full,prone,barbell,anti-extension,bilateral,flat,isolation,rectus-abdominis
free-exercise-db,Barbell_Seated_Calf_Raise,Barbell Seated Calf Raise,OMEN-0.2-FUZKL7LNMWVT6,seated barbell plantarflexion,posture=seated|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=plantarflexion|angle=flat|contraction=dynamic|range=full,seated,barbell,plantarflexion,bilateral,flat,isolation,gastrocnemius;soleus
free-exercise-db,Barbell_Shoulder_Press,Barbell Shoulder Press,OMEN-0.2-QGKZEQ6ZHHXGQ,barbell vertical-push,posture=standing|implement=barbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=vertical-push|angle=flat|contraction=dynamic|range=full,standing,barbell,vertical-push,bilateral,flat,compound,anterior-deltoid;triceps;upper-pectoralis
free-exercise-db,Barbell_Shrug,Barbell Shrug,OMEN-0.2-T2IEFOI5QR7IO,barbell scapular-elevation,posture=standing|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=scapular-elevation|angle=flat|contraction=dynamic|range=full,standing,barbell,scapular-elevation,bilateral,flat,isolation,upper-trapezius
free-exercise-db,Barbell_Shrug_Behind_The_Back,Barbell Shrug Behind The Back,OMEN-0.2-T2IEFOI5QR7IO,barbell scapular-elevation,posture=standing|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=scapular-elevation|angle=flat|contraction=dynamic|range=full,standing,barbell,scapular-elevation,bilateral,flat,isolation,upper-trapezius
free-exercise-db,Barbell_Side_Bend,Barbell Side Bend,OMEN-0.2-LOG47WWCBLMUY,barbell spinal-lateral-flexion,posture=standing|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=spinal-lateral-flexion|angle=flat|contraction=dynamic|range=full,standing,barbell,spinal-lateral-flexion,bilateral,flat,isolation,obliques
free-exercise-db,Barbell_Side_Split_Squat,Barbell Side Split Squat,OMEN-0.2-JDNTB5KOOSCU4,barbell lunge,posture=standing|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=lunge|angle=flat|contraction=dynamic|range=full,standing,barbell,lunge,bilateral,flat,compound,quadriceps;gluteus-maximus
free-exercise-db,Barbell_Squat,Barbell Squat,OMEN-0.2-HWYDOFIMW3MXQ,barbell squat,posture=standing|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=squat|angle=flat|contraction=dynamic|range=full,standing,barbell,squat,bilateral,flat,compound,quadriceps;gluteus-maximus
free-exercise-db,Barbell_Squat_To_A_Bench,Barbell Squat To A Bench,OMEN-0.2-HWYDOFIMW3MXQ,barbell squat,posture=standing|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=squat|angle=flat|contraction=dynamic|range=full,standing,barbell,squat,bilateral,flat,compound,quadriceps;gluteus-maximus
free-exercise-db,Barbell_Step_Ups,Barbell Step Ups,OMEN-0.2-HWYDOFIMW3MXQ,barbell squat,posture=standing|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=squat|angle=flat|contraction=dynamic|range=full,standing,barbell,squat,bilateral,flat,compound,quadriceps;gluteus-maximus
free-exercise-db,Barbell_Walking_Lunge,Barbell Walking Lunge,OMEN-0.2-JDNTB5KOOSCU4,barbell lunge,posture=standing|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=lunge|angle=flat|contraction=dynamic|range=full,standing,barbell,lunge,bilateral,flat,compound,quadriceps;gluteus-maximus
free-exercise-db,Bear_Crawl_Sled_Drags,Bear Crawl Sled Drags,OMEN-0.2-PUXI2XFYH6Y74,sled squat,posture=standing|implement=sled|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=squat|angle=flat|contraction=dynamic|range=full,standing,sled,squat,bilateral,flat,compound,quadriceps;gluteus-maximus
free-exercise-db,Bench_Dips,Bench Dips,OMEN-0.2-NLGPA4CDJVIXG,elbow-extension,posture=standing|implement=bodyweight|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=elbow-extension|angle=flat|contraction=dynamic|range=full,standing,bodyweight,elbow-extension,bilateral,flat,isolation,triceps
free-exercise-db,Bench_Press_-_Powerlifting,Bench Press - Powerlifting,OMEN-0.2-VRQRJHQSX5NX6,barbell horizontal-push,posture=supine|implement=barbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=horizontal-push|angle=flat|contraction=dynamic|range=full,supine,barbell,horizontal-push,bilateral,flat,compound,pectoralis-major;anterior-deltoid;triceps
free-exercise-db,Bench_Press_-_With_Bands,Bench Press - With Bands,OMEN-0.2-6YKFCJFKK2P4U,band horizontal-push,posture=supine|implement=band|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=horizontal-push|angle=flat|contraction=dynamic|range=full,supine,band,horizontal-push,bilateral,flat,compound,pectoralis-major;anterior-deltoid;triceps
free-exercise-db,Bench_Press_with_Chains,Bench Press with Chains,OMEN-0.2-VRQRJHQSX5NX6,barbell horizontal-push,posture=supine|implement=barbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=horizontal-push|angle=flat|contraction=dynamic|range=full,supine,barbell,horizontal-push,bilateral,flat,compound,pectoralis-major;anterior-deltoid;triceps
free-exercise-db,Bent-Arm_Barbell_Pullover,Bent-Arm Barbell Pullover,OMEN-0.2-UKK4UNFEWOHEE,barbell shoulder-extension,posture=standing|implement=barbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=shoulder-extension|angle=flat|contraction=dynamic|range=full,standing,barbell,shoulder-extension,bilateral,flat,isolation,latissimus-dorsi;teres-major
free-exercise-db,Bent-Arm_Dumbbell_Pullover,Bent-Arm Dumbbell Pullover,OMEN-0.2-45PQUSN4LC2NE,dumbbell shoulder-extension,posture=standing|implement=dumbbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=shoulder-extension|angle=flat|contraction=dynamic|range=full,standing,dumbbell,shoulder-extension,bilateral,flat,isolation,latissimus-dorsi;teres-major
free-exercise-db,Bent-Knee_Hip_Raise,Bent-Knee Hip Raise,OMEN-0.2-NEBO6LLZQU252,spinal-flexion,posture=supine|implement=bodyweight|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=spinal-flexion|angle=flat|contraction=dynamic|range=full,supine,bodyweight,spinal-flexion,bilateral,flat,isolation,rectus-abdominis
free-exercise-db,Bent_Over_Barbell_Row,Bent Over Barbell Row,OMEN-0.2-Z6KBRILLL7SBK,barbell horizontal-pull,posture=bent-over|implement=barbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=horizontal-pull|angle=flat|contraction=dynamic|range=full,bent-over,barbell,horizontal-pull,bilateral,flat,compound,latissimus-dorsi;rhomboids;mid-trapezius;posterior-deltoid
free-exercise-db,Bent_Over_Dumbbell_Rear_Delt_Raise_With_Head_On_Bench,Bent Over Dumbbell Rear Delt Raise With Head On Bench,OMEN-0.2-FLIFVZAHTGNZC,dumbbell shoulder-horizontal-abduction,posture=bent-over|implement=dumbbell|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=shoulder-horizontal-abduction|angle=flat|contraction=dynamic|range=full,bent-over,dumbbell,shoulder-horizontal-abduction,bilateral,flat,isolation,posterior-deltoid
free-exercise-db,Bent_Over_Low-Pulley_Side_Lateral,Bent Over Low-Pulley Side Lateral,OMEN-0.2-GIPUU7BJR67JE,cable shoulder-abduction,posture=bent-over|implement=cable|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=shoulder-abduction|angle=flat|contraction=dynamic|range=full,bent-over,cable,shoulder-abduction,bilateral,flat,isolation,lateral-deltoid
free-exercise-db,Bent_Over_One-Arm_Long_Bar_Row,Bent Over One-Arm Long Bar Row,OMEN-0.2-SWGXN6OTDUI5Y,barbell unilateral horizontal-pull,posture=bent-over|implement=barbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=unilateral|pattern=horizontal-pull|angle=flat|contraction=dynamic|range=full,bent-over,barbell,horizontal-pull,unilateral,flat,compound,latissimus-dorsi;rhomboids;mid-trapezius;posterior-deltoid
free-exercise-db,Bent_Over_Two-Arm_Long_Bar_Row,Bent Over Two-Arm Long Bar Row,OMEN-0.2-Z6KBRILLL7SBK,barbell horizontal-pull,posture=bent-over|implement=barbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=horizontal-pull|angle=flat|contraction=dynamic|range=full,bent-over,barbell,horizontal-pull,bilateral,flat,compound,latissimus-dorsi;rhomboids;mid-trapezius;posterior-deltoid
free-exercise-db,Bent_Over_Two-Dumbbell_Row,Bent Over Two-Dumbbell Row,OMEN-0.2-ZG4E7VF4WUNVS,dumbbell horizontal-pull,posture=bent-over|implement=dumbbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=horizontal-pull|angle=flat|contraction=dynamic|range=full,bent-over,dumbbell,horizontal-pull,bilateral,flat,compound,latissimus-dorsi;rhomboids;mid-trapezius;posterior-deltoid
free-exercise-db,Bent_Over_Two-Dumbbell_Row_With_Palms_In,Bent Over Two-Dumbbell Row With Palms In,OMEN-0.2-ZG4E7VF4WUNVS,dumbbell horizontal-pull,posture=bent-over|implement=dumbbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=horizontal-pull|angle=flat|contraction=dynamic|range=full,bent-over,dumbbell,horizontal-pull,bilateral,flat,compound,latissimus-dorsi;rhomboids;mid-trapezius;posterior-deltoid
free-exercise-db,Bent_Press,Bent Press,OMEN-0.2-2OIWIU7HL3XGY,kettlebell vertical-push,posture=standing|implement=kettlebell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=vertical-push|angle=flat|contraction=dynamic|range=full,standing,kettlebell,vertical-push,bilateral,flat,compound,anterior-deltoid;triceps;upper-pectoralis
free-exercise-db,Board_Press,Board Press,OMEN-0.2-QGKZEQ6ZHHXGQ,barbell vertical-push,posture=standing|implement=barbell|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=vertical-push|angle=flat|contraction=dynamic|range=full,standing,barbell,vertical-push,bilateral,flat,compound,anterior-deltoid;triceps;upper-pectoralis
free-exercise-db,Body-Up,Body-Up,OMEN-0.2-NLGPA4CDJVIXG,elbow-extension,posture=standing|implement=bodyweight|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=elbow-extension|angle=flat|contraction=dynamic|range=full,standing,bodyweight,elbow-extension,bilateral,flat,isolation,triceps
free-exercise-db,Body_Tricep_Press,Body Tricep Press,OMEN-0.2-HAJB3SN7EQEPY,vertical-push,posture=standing|implement=bodyweight|attachment=none|grip_orientation=pronated|grip_width=standard|laterality=bilateral|pattern=vertical-push|angle=flat|contraction=dynamic|range=full,standing,bodyweight,vertical-push,bilateral,flat,compound,anterior-deltoid;triceps;upper-pectoralis
free-exercise-db,Bodyweight_Flyes,Bodyweight Flyes,OMEN-0.2-WIJS77ULMNROW,ez-bar shoulder-horizontal-adduction,posture=standing|implement=ez-bar|attachment=none|grip_orientation=neutral|grip_width=standard|laterality=bilateral|pattern=shoulder-horizontal-adduction|angle=flat|contraction=dynamic|range=full,standing,ez-bar,shoulder-horizontal-adduction,bilateral,flat,isolation,pectoralis-major
